uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesO,periods
http://www.wikidata.org/entity/Q133461845,Bertrand de La Tour d'Artaise,1985,education,http://www.wikidata.org/entity/Q201492,McGill University,3,public research university | university in Quebec | open-access publisher,1981-2000
http://www.wikidata.org/entity/Q133461845,Bertrand de La Tour d'Artaise,1985,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1981-2000
http://www.wikidata.org/entity/Q133461845,Bertrand de La Tour d'Artaise,1985,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q133496926,Sidney Rostan,1993,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1981-2000
http://www.wikidata.org/entity/Q133496926,Sidney Rostan,1993,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q133496926,Sidney Rostan,1993,education,http://www.wikidata.org/entity/Q125902243,Q125902243,1,educational facility,1981-2000
http://www.wikidata.org/entity/Q133496926,Sidney Rostan,1993,education,http://www.wikidata.org/entity/Q125899607,Q125899607,1,educational facility,1981-2000
http://www.wikidata.org/entity/Q133496926,Sidney Rostan,1993,employment,http://www.wikidata.org/entity/Q155446,Institut Supérieur de l'Aéronautique et de l'Espace,1,engineering college,1981-2000
http://www.wikidata.org/entity/Q133496926,Sidney Rostan,1993,employment,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1981-2000
http://www.wikidata.org/entity/Q133496926,Sidney Rostan,1993,education,http://www.wikidata.org/entity/Q17062160,Lycée Français International de Bangkok,1,school,1981-2000
http://www.wikidata.org/entity/Q133496926,Sidney Rostan,1993,employment,http://www.wikidata.org/entity/Q1189954,Mines ParisTech,2,engineering college | grande école,1981-2000
http://www.wikidata.org/entity/Q133698087,Torben Nielsen,1948,education,http://www.wikidata.org/entity/Q186285,University of Copenhagen,2,public research university | organization,1941-1960
http://www.wikidata.org/entity/Q133698087,Torben Nielsen,1948,membership,http://www.wikidata.org/entity/Q5010333,CEPOS,2,association | think tank,1941-1960
http://www.wikidata.org/entity/Q133808818,Paul Marchant,1968,education,http://www.wikidata.org/entity/Q4899795,Bexley Grammar School,3,academy school | grammar school | secondary school,1961-1980
http://www.wikidata.org/entity/Q133821221,Rydrea Walker,1995,education,http://www.wikidata.org/entity/Q2140778,Rochester Institute of Technology,7,space grant institution | engineering college | institute of technology | private not-for-profit educational institution | open-access publisher | research university | private university,1981-2000
http://www.wikidata.org/entity/Q133858348,Hervé de Malliard,1970,education,http://www.wikidata.org/entity/Q1572655,ESME Sudria,1,engineering college,1961-1980
http://www.wikidata.org/entity/Q133858348,Hervé de Malliard,1970,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q133858348,Hervé de Malliard,1970,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q133968406,Alexey Fetisov,1984,education,http://www.wikidata.org/entity/Q1472245,Bauman Moscow State Technical University,3,national research university | institute of technology | open-access publisher,1981-2000
http://www.wikidata.org/entity/Q134297545,Judd Zebersky,1968,education,http://www.wikidata.org/entity/Q7895748,University of Miami School of Law,3,organization | law school | faculty,1961-1980
http://www.wikidata.org/entity/Q134310343,Charlotte Giraud,1980,membership,http://www.wikidata.org/entity/Q131137989,emlyon alumni,2,alumni association | organization,1961-1980
http://www.wikidata.org/entity/Q134310343,Charlotte Giraud,1980,education,http://www.wikidata.org/entity/Q1795504,Emlyon Business School,1,grande école,1961-1980
http://www.wikidata.org/entity/Q134313224,Jacob O'Brien,1989,employment,http://www.wikidata.org/entity/Q484876,chief executive officer,5,occupation | profession | legal concept | corporate title | Occupation,1981-2000
http://www.wikidata.org/entity/Q134375694,Thomas H. Davis,1918,education,http://www.wikidata.org/entity/Q503419,University of Arizona,4,public educational institution of the United States | open-access publisher | land-grant university | public university,1901-1920
http://www.wikidata.org/entity/Q134383493,Craig Piggott,1995,education,http://www.wikidata.org/entity/Q7591431,St Peter's School,3,private school | boarding school | secondary school,1981-2000
http://www.wikidata.org/entity/Q134383493,Craig Piggott,1995,education,http://www.wikidata.org/entity/Q492467,University of Auckland,1,public university,1981-2000
http://www.wikidata.org/entity/Q134393079,Alexander Murray MacKay,1886,education,http://www.wikidata.org/entity/Q742150,Mount Allison University,1,university,1851-1900
http://www.wikidata.org/entity/Q134393120,Eric Poston,1987,education,http://www.wikidata.org/entity/Q7896545,University of Virginia School of Law,2,law school | faculty,1981-2000
http://www.wikidata.org/entity/Q134393120,Eric Poston,1987,education,http://www.wikidata.org/entity/Q168751,Duke University,3,private not-for-profit educational institution | open-access publisher | university,1981-2000
http://www.wikidata.org/entity/Q13449900,Jason Blum,1969,education,http://www.wikidata.org/entity/Q2093794,Vassar College,2,liberal arts college in the United States | private not-for-profit educational institution,1961-1980
http://www.wikidata.org/entity/Q134517318,Lara Boro,1967,education,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",5,public research university | university campus | public educational institution of the United States | organization | university,1961-1980
http://www.wikidata.org/entity/Q134517318,Lara Boro,1967,education,http://www.wikidata.org/entity/Q1136829,INSEAD,1,business school,1961-1980
http://www.wikidata.org/entity/Q134517318,Lara Boro,1967,education,http://www.wikidata.org/entity/Q3269062,Lycee Francais Charles de Gaulle,3,independent school | French school abroad | AEFE managed schools,1961-1980
http://www.wikidata.org/entity/Q134578406,Guy Bernstein,1968,education,http://www.wikidata.org/entity/Q2904541,College of Management Academic Studies,2,college | publishing company,1961-1980
http://www.wikidata.org/entity/Q134587148,Bálint Sapszon,1981,education,http://www.wikidata.org/entity/Q174710,"University of California, Los Angeles",5,public research university | university campus | public educational institution of the United States | organization | university,1981-2000
http://www.wikidata.org/entity/Q134587148,Bálint Sapszon,1981,education,http://www.wikidata.org/entity/Q791024,"Béla Bartók Conservatory, Budapest",4,high school | gymnasium | music school | conservatory,1981-2000
http://www.wikidata.org/entity/Q134587148,Bálint Sapszon,1981,education,http://www.wikidata.org/entity/Q847099,Franz Liszt Academy of Music,3,music academy | university | conservatory,1981-2000
http://www.wikidata.org/entity/Q134587148,Bálint Sapszon,1981,education,http://www.wikidata.org/entity/Q106877412,Kőbánya Music Studio,2,vocational school | music school,1981-2000
http://www.wikidata.org/entity/Q134593318,Glenn Renwick,1955,education,http://www.wikidata.org/entity/Q7108341,Otago Boys' High School,4,public school | boys' high school | boarding school | secondary school,1941-1960
http://www.wikidata.org/entity/Q134593318,Glenn Renwick,1955,education,http://www.wikidata.org/entity/Q432475,University of Canterbury,2,open-access publisher | university,1941-1960
http://www.wikidata.org/entity/Q134593318,Glenn Renwick,1955,education,http://www.wikidata.org/entity/Q106149657,Dunedin North Intermediate School,2,middle school | public school,1941-1960
