,personUri,personLabel,birthYear,gender,countries,continents,occupations
192,http://www.wikidata.org/entity/Q113384274,Nourdine Bihmane,1977,male,"Morocco, France","Africa, Europe",chief executive officer
193,http://www.wikidata.org/entity/Q2094497,Pietro Supino,1965,male,"Italy, Switzerland",Europe,"publisher, chief executive officer, jurist, chairperson"
194,http://www.wikidata.org/entity/Q3154609,Irving Grundman,1928,male,Canada,North America,chief executive officer
195,http://www.wikidata.org/entity/Q5629910,Börje Ekholm,1963,male,Sweden,Europe,"chief executive officer, businessperson"
196,http://www.wikidata.org/entity/Q111378760,Lionel Benbassat,1977,male,France,Europe,"businessperson, chief executive officer"
197,http://www.wikidata.org/entity/Q122915197,Thomas Schmider,1961,male,France,Europe,"businessperson, chief executive officer, entrepreneur"
198,http://www.wikidata.org/entity/Q111646602,Farzam Tavassoli,1993,male,Iran,Asia,"founder, manager, chief executive officer, artist, singer"
199,http://www.wikidata.org/entity/Q5716251,Einar Eriksson,1905,male,Sweden,Europe,"chief executive officer, politician"
200,http://www.wikidata.org/entity/Q66614786,Karan Adani,1987,male,India,Asia,chief executive officer
201,http://www.wikidata.org/entity/Q4083711,Stacey Bendet,1978,female,United States,North America,chief executive officer
202,http://www.wikidata.org/entity/Q33197585,Olivier Brourhant,1974,male,France,Europe,"business executive, chief executive officer, chairperson, entrepreneur, businessperson"
203,http://www.wikidata.org/entity/Q63079392,Q63079392,1955,male,Mongolia,Asia,chief executive officer
204,http://www.wikidata.org/entity/Q27506012,Joseph Harmatz,1925,male,"Israel, Lithuania","Asia, Europe",chief executive officer
205,http://www.wikidata.org/entity/Q380602,Kwok Ping Sheung Walter,1950,male,People's Republic of China,Asia,"chief executive officer, entrepreneur, politician"
206,http://www.wikidata.org/entity/Q127178300,Anna DeShawn,1983,female,United States,North America,"producer, media personality, chief executive officer"
207,http://www.wikidata.org/entity/Q9631179,Zhou Jiping,1952,male,People's Republic of China,Asia,"geologist, chief executive officer, merchant, entrepreneur, businessperson"
208,http://www.wikidata.org/entity/Q116819966,Giora Bardea,1953,male,Israel,Asia,"businessperson, chief executive officer, military officer, chairperson"
