uriPer,labelPer,birthYear,relaType,uriOrg,labelOrg,nTypes,typesOrg,periods,listTypesOrg
http://www.wikidata.org/entity/Q38589106,Vasant Narasimhan,1976,education,http://www.wikidata.org/entity/Q131252,University of Chicago,3,private not-for-profit educational institution | private university | research university,1971-2000,"['private not-for-profit educational institution', 'private university', 'research university']"
http://www.wikidata.org/entity/Q39049621,Sheldon Yellen,1958,education,http://www.wikidata.org/entity/Q7570767,Southfield-Lathrup High School,1,high school,1941-1970,['high school']
http://www.wikidata.org/entity/Q39083634,Ivan Loskutov,1900,education,http://www.wikidata.org/entity/Q1379834,Peter the Great Saint Petersburg State Polytechnical University,3,architectural landmark | building complex | national research university,1881-1910,"['architectural landmark', 'building complex', 'national research university']"
http://www.wikidata.org/entity/Q391072,Kumar Mangalam Birla,1967,membership,http://www.wikidata.org/entity/Q115725302,ABLF alumni network,1,alumni association,1941-1970,['alumni association']
http://www.wikidata.org/entity/Q391072,Kumar Mangalam Birla,1967,education,http://www.wikidata.org/entity/Q5028412,"Campion School, Mumbai",1,private school,1941-1970,['private school']
http://www.wikidata.org/entity/Q391072,Kumar Mangalam Birla,1967,education,http://www.wikidata.org/entity/Q174570,London School of Economics and Political Science,3,educational organization | higher education institution | public research university,1941-1970,"['educational organization', 'higher education institution', 'public research university']"
http://www.wikidata.org/entity/Q391072,Kumar Mangalam Birla,1967,education,http://www.wikidata.org/entity/Q7659771,Sydenham College,1,college,1941-1970,['college']
http://www.wikidata.org/entity/Q391072,Kumar Mangalam Birla,1967,education,http://www.wikidata.org/entity/Q1481050,London Business School,3,business school | educational organization | higher education institution,1941-1970,"['business school', 'educational organization', 'higher education institution']"
http://www.wikidata.org/entity/Q391072,Kumar Mangalam Birla,1967,education,http://www.wikidata.org/entity/Q406402,University of Mumbai,1,university,1941-1970,['university']
http://www.wikidata.org/entity/Q4042897,Lil Eazy-E,1984,education,http://www.wikidata.org/entity/Q6752537,Manuel Dominguez High School,2,high school | public school,1971-2000,"['high school', 'public school']"
http://www.wikidata.org/entity/Q4055319,Hamid Awaludin,1962,education,http://www.wikidata.org/entity/Q478044,Hasanuddin University,2,open-access publisher | university,1941-1970,"['open-access publisher', 'university']"
http://www.wikidata.org/entity/Q4056666,Gavriil Agarkov,1905,education,http://www.wikidata.org/entity/Q1719898,Moscow Aviation Institute,3,national research university | open-access publisher | publishing company,1881-1910,"['national research university', 'open-access publisher', 'publishing company']"
http://www.wikidata.org/entity/Q4077009,Hayim Baltsan,1910,employment,http://www.wikidata.org/entity/Q319239,Tel Aviv University,3,open-access publisher | ottoman association | university,1881-1910,"['open-access publisher', 'ottoman association', 'university']"
http://www.wikidata.org/entity/Q4077009,Hayim Baltsan,1910,education,http://www.wikidata.org/entity/Q608338,University of Bucharest,2,open-access publisher | public university,1881-1910,"['open-access publisher', 'public university']"
