p,propLabel,eff
http://www.wikidata.org/prop/direct/P13049,identifiant DDB d'une personne,2
http://www.wikidata.org/prop/direct/P12749,identifiant SNARC,2
http://www.wikidata.org/prop/direct/P136,genre artistique,1
http://www.wikidata.org/prop/direct/P169,directeur général ou directrice générale,1
http://www.wikidata.org/prop/direct/P349,identifiant Bibliothèque nationale de la Diète,1
http://www.wikidata.org/prop/direct/P241,corps militaire,1
http://www.wikidata.org/prop/direct/P451,partenaire de vie,1
http://www.wikidata.org/prop/direct/P535,identifiant Find a Grave de la tombe,1
http://www.wikidata.org/prop/direct/P549,identifiant Mathematics Genealogy Project,1
http://www.wikidata.org/prop/direct/P607,a participé au conflit,1
http://www.wikidata.org/prop/direct/P968,courriel,1
http://www.wikidata.org/prop/direct/P1026,thèse académique,1
http://www.wikidata.org/prop/direct/P1037,dirigé par,1
http://www.wikidata.org/prop/direct/P1053,identifiant ResearcherID,1
http://www.wikidata.org/prop/direct/P1050,affection médicale,1
http://www.wikidata.org/prop/direct/P1186,identifiant Parlement européen,1
http://www.wikidata.org/prop/direct/P1214,identifiant Riksdag,1
http://www.wikidata.org/prop/direct/P1375,identifiant Bibliothèque nationale et universitaire de Zagreb,1
http://www.wikidata.org/prop/direct/P1411,nommé ou nommée pour,1
http://www.wikidata.org/prop/direct/P1417,identifiant Encyclopædia  Britannica,1
http://www.wikidata.org/prop/direct/P1469,identifiant Fédération internationale de football association (archivé),1
http://www.wikidata.org/prop/direct/P1532,pays de nationalité sportive,1
http://www.wikidata.org/prop/direct/P1607,identifiant Dialnet d'un auteur,1
http://www.wikidata.org/prop/direct/P1651,identifiant de la vidéo YouTube,1
http://www.wikidata.org/prop/direct/P1871,identifiant Consortium of European Research Libraries,1
http://www.wikidata.org/prop/direct/P1884,couleur des cheveux,1
http://www.wikidata.org/prop/direct/P1695,identifiant Bibliothèque nationale de Pologne (ancien),1
http://www.wikidata.org/prop/direct/P1712,identifiant Metacritic,1
http://www.wikidata.org/prop/direct/P1728,identifiant AllMusic d'un artiste,1
http://www.wikidata.org/prop/direct/P2032,fin de la période d'activité,1
http://www.wikidata.org/prop/direct/P2091,identifiant Fédération internationale des sociétés d'aviron,1
http://www.wikidata.org/prop/direct/P2273,identifiant Académie des sciences de Heidelberg,1
http://www.wikidata.org/prop/direct/P2323,identifiant Comité olympique suédois,1
http://www.wikidata.org/prop/direct/P2383,identifiant La France savante CTHS,1
http://www.wikidata.org/prop/direct/P2435,identifiant PORT d'une personne,1
http://www.wikidata.org/prop/direct/P2456,identifiant Digital Bibliography & Library Project,1
http://www.wikidata.org/prop/direct/P2190,identifiant C-SPAN d'une personne (déprécié),1
http://www.wikidata.org/prop/direct/P2188,identifiant BiblioNet d'un auteur,1
http://www.wikidata.org/prop/direct/P2459,identifiant Union internationale de biathlon,1
http://www.wikidata.org/prop/direct/P2519,identifiant Scope.dk d'une personne,1
http://www.wikidata.org/prop/direct/P2574,identifiant National Football Teams d'un joueur,1
http://www.wikidata.org/prop/direct/P2604,identifiant Kinopoisk d'une personne,1
http://www.wikidata.org/prop/direct/P2605,identifiant ÄŒSFD d'une personne,1
http://www.wikidata.org/prop/direct/P2611,identificateur d'orateur de la conférence TED,1
http://www.wikidata.org/prop/direct/P2020,identifiant Mondefootball.fr,1
http://www.wikidata.org/prop/direct/P2019,identifiant AllMovie d'une personne,1
http://www.wikidata.org/prop/direct/P2688,identifiant Box Office Mojo d'une personne,1
http://www.wikidata.org/prop/direct/P2773,identifiant FIS d'un fondeur,1
http://www.wikidata.org/prop/direct/P2798,identifiant Loop,1
http://www.wikidata.org/prop/direct/P3074,identifiant Grace's Guide,1
http://www.wikidata.org/prop/direct/P3267,identifiant Flickr,1
http://www.wikidata.org/prop/direct/P3554,identifiant World Series of Poker,1
http://www.wikidata.org/prop/direct/P3564,Identifiant Global Poker Index,1
http://www.wikidata.org/prop/direct/P3599,identifiant Producteur aux Archives nationales,1
